dummy,Holiday,Holiday,COVID,COVID,Holiday_COVID,Holiday_COVID
stat,coef,pval,coef,pval,coef,pval
2010-01-29,0.6533143120710319,0.3580471716678385,0.0,,0.0,
2010-02-26,0.2927548890819097,0.6739860740258774,0.0,,0.0,1.0
2010-03-31,0.643804445377454,0.465692031018468,0.0,1.0,0.0,1.0
2010-04-30,0.5921023596057577,0.485314264517262,0.0,1.0,0.0,1.0
2010-05-31,0.660299347383164,0.4127769729691241,0.0,1.0,0.0,1.0
2010-06-30,0.6439389146720487,0.41917338422333483,0.0,1.0,0.0,1.0
2010-07-30,0.6127122762007425,0.43019883485470345,0.0,1.0,0.0,
2010-08-31,0.5872769573177304,0.4168096012043476,0.0,,0.0,
2010-09-30,0.5693918435717205,0.41887958100807354,0.0,1.0,0.0,1.0
2010-10-29,0.5117810655496677,0.45182301846731043,0.0,1.0,0.0,
2010-11-30,0.4925411348747853,0.4507664990670446,0.0,,0.0,
2010-12-31,0.5237897131866188,0.40223871392688926,0.0,1.0,0.0,1.0
2011-01-31,0.43620655548878245,0.46035289767142007,0.0,1.0,0.0,1.0
2011-02-28,0.13991878468840455,0.8515926653425969,0.0,,0.0,
2011-03-31,0.12190691785805607,0.8612301022403672,0.0,,0.0,1.0
2011-04-29,0.14151030105502976,0.8352850708725448,0.0,1.0,0.0,
2011-05-31,0.17559699664695205,0.7908351184341218,0.0,,0.0,1.0
2011-06-30,0.19556664396459195,0.7627451351115261,0.0,1.0,0.0,1.0
2011-07-29,0.23268837958422822,0.7153461994419941,0.0,1.0,0.0,
2011-08-31,0.23521396501307476,0.6819527333477993,0.0,,0.0,1.0
2011-09-30,0.26937858815153115,0.6201637470178227,0.0,,0.0,1.0
2011-10-31,0.23369209675652844,0.6801047344303961,0.0,1.0,0.0,
2011-11-30,0.2789653639299197,0.5913576466401255,0.0,,0.0,1.0
2011-12-30,0.3130852845559532,0.5353548861070013,0.0,,0.0,1.0
2012-01-31,0.29347201144402324,0.43429182160423385,0.0,,0.0,
2012-02-29,0.14273603856341724,0.676413869072566,0.0,1.0,0.0,1.0
2012-03-30,0.12312349194340173,0.7582322240255134,0.0,1.0,0.0,1.0
2012-04-27,0.11705381451667457,0.7685134006380607,0.0,1.0,0.0,
2012-05-31,0.09714094099372513,0.799983069711024,0.0,1.0,0.0,1.0
2012-06-29,0.07709068628953013,0.8372775573259317,0.0,,0.0,1.0
2012-07-31,0.07752469015488704,0.8308369260211574,0.0,,0.0,
2012-08-31,0.09648575174031784,0.7830264248859393,0.0,,0.0,
2012-09-28,0.09998112935672586,0.7777213635100906,0.0,1.0,0.0,1.0
2012-10-31,0.2685581810719442,0.3890087910747627,0.0,,0.0,
2012-11-30,0.2975777054378061,0.30345935586843586,0.0,1.0,0.0,
2012-12-31,0.12950564674167536,0.6817178787213505,0.0,,0.0,
2013-01-31,0.0974720668299589,0.7623647439025826,0.0,,0.0,1.0
2013-02-28,-0.31970809741381706,0.277896428975282,0.0,,0.0,
2013-03-29,-0.43059221234308065,0.21520926266773233,0.0,1.0,0.0,1.0
2013-04-26,-0.4169235108488648,0.2191322769931663,0.0,,0.0,
2013-05-31,-0.43893073320921067,0.19865143574155952,0.0,1.0,0.0,
2013-06-28,-0.41659096914992505,0.25576350598333497,0.0,1.0,0.0,
2013-07-31,-0.4036814867969645,0.28671367871105935,0.0,1.0,0.0,
2013-08-30,-0.4285943693288597,0.26378302396042763,0.0,1.0,0.0,1.0
2013-09-30,-0.44398245537092257,0.25034958427694043,0.0,,0.0,
2013-10-31,-0.4630027928972448,0.2207429616312403,0.0,1.0,0.0,
2013-11-29,-0.44559455372283024,0.22580468250420982,0.0,1.0,0.0,1.0
2013-12-31,-0.46172696240706407,0.2292446075290695,0.0,1.0,0.0,
2014-01-30,-0.3202529475305757,0.37804735755545105,0.0,,0.0,1.0
2014-02-28,-0.04730656293160122,0.90686760481908,0.0,,0.0,
2014-03-31,-0.03858176412814851,0.9247607860970017,0.0,1.0,0.0,1.0
2014-04-30,-0.06213789034978505,0.8753646784659384,0.0,,0.0,
2014-05-30,-0.04049626342460224,0.9177026146510451,0.0,1.0,0.0,1.0
2014-06-30,-0.04920417819891208,0.8991138031076289,0.0,1.0,0.0,
2014-07-31,-0.07192983404327405,0.8571405966775449,0.0,1.0,0.0,1.0
2014-08-29,-0.07332671614781562,0.8546213790324698,0.0,,0.0,1.0
2014-09-30,-0.09470933281545207,0.8154995123774113,0.0,,0.0,1.0
2014-10-31,-0.08853671685533417,0.8171589052706092,0.0,,0.0,
2014-11-28,-0.11375459056188063,0.780194046339602,0.0,,0.0,
2014-12-31,-0.10395803658479497,0.8071304189052453,0.0,1.0,0.0,1.0
2015-01-30,-0.07815497839702103,0.8782515693487318,0.0,1.0,0.0,
2015-02-27,0.09077883268076771,0.8188975616591458,0.0,1.0,0.0,1.0
2015-03-31,0.48392122464596266,0.3036816337415501,0.0,,0.0,
2015-04-30,0.4546234371351301,0.3425670568993743,0.0,,0.0,1.0
2015-05-29,0.4681970050487771,0.3553868683317506,0.0,,0.0,1.0
2015-06-30,0.4950359713103775,0.3741385145015266,0.0,,0.0,1.0
2015-07-31,0.40457704587769905,0.4702829365063903,0.0,1.0,0.0,
2015-08-31,0.4239235867550193,0.48073528917062525,0.0,1.0,0.0,
2015-09-30,0.43637007597975225,0.47865211584805145,0.0,,0.0,1.0
2015-10-30,0.40807824746155735,0.5058555233127277,0.0,,0.0,
2015-11-30,0.40656336356768724,0.5210722059641388,0.0,,0.0,
2015-12-31,0.40022088263253763,0.5324036744626531,0.0,,0.0,1.0
2016-01-29,0.40726198919799195,0.5410269200404842,0.0,,0.0,
2016-02-29,0.3445158120721648,0.5856277502615197,0.0,1.0,0.0,
2016-03-31,0.2932623472943824,0.6453325540775614,0.0,1.0,0.0,
2016-04-29,0.3092989234334413,0.6222154278543914,0.0,,0.0,1.0
2016-05-31,0.30652232582917543,0.6239198252346019,0.0,,0.0,
2016-06-30,0.3053069138035333,0.6274455118184702,0.0,1.0,0.0,
2016-07-29,0.29924276127504407,0.6346943668497749,0.0,1.0,0.0,1.0
2016-08-31,0.30396560958911384,0.6245978931698517,0.0,,0.0,
2016-09-30,0.3110768894872589,0.6156166779017969,0.0,1.0,0.0,1.0
2016-10-31,0.2996268041446254,0.6260977327523731,0.0,,0.0,1.0
2016-11-30,0.3000353367201832,0.6225458596012373,0.0,,0.0,
2016-12-30,0.33097320426119897,0.5489109355920664,0.0,1.0,0.0,1.0
2017-01-26,0.34107995805234403,0.5045626768068617,0.0,1.0,0.0,
2017-02-28,0.19554212374812474,0.6729430043250149,0.0,1.0,0.0,
2017-03-31,0.12796945289776396,0.8319635136817257,0.0,,0.0,1.0
2017-04-28,0.2024502694850808,0.7247073837337923,0.0,,0.0,
2017-05-31,0.18731330383529224,0.7297020211997665,0.0,,0.0,
2017-06-30,0.16748863559529556,0.7407772011288737,0.0,1.0,0.0,1.0
2017-07-31,0.14712067983267382,0.7247092907097974,0.0,,0.0,1.0
2017-08-31,0.12513666766951517,0.7434821436792367,0.0,,0.0,
