dummy,Holiday,Holiday,COVID,COVID,Holiday_COVID,Holiday_COVID
stat,coef,pval,coef,pval,coef,pval
2010-01-29,0.4085887547350664,0.5258858306945215,0.0,,0.0,1.0
2010-02-26,0.35452303515817046,0.6124217683234241,0.0,1.0,0.0,
2010-03-31,0.7308759916267012,0.45393197336929036,0.0,1.0,0.0,
2010-04-30,0.7184513468534978,0.43579683305487527,0.0,1.0,0.0,1.0
2010-05-31,0.6806389521576495,0.45223670400208416,0.0,1.0,0.0,
2010-06-30,0.6845945809711071,0.44590462067302894,0.0,,0.0,
2010-07-30,0.6584544886650487,0.4414856783884539,0.0,1.0,0.0,
2010-08-31,0.6721825983758692,0.40728259270824707,0.0,1.0,0.0,
2010-09-30,0.627678795422696,0.4277913836218703,0.0,1.0,0.0,1.0
2010-10-29,0.5940072227651384,0.42480707140557383,0.0,,0.0,
2010-11-30,0.5528588444603525,0.44799508517146447,0.0,,0.0,
2010-12-31,0.6008819405480355,0.36071878233532595,0.0,,0.0,1.0
2011-01-31,0.5362670533498781,0.39977252549596276,0.0,1.0,0.0,1.0
2011-02-28,0.3595569061332116,0.6629391567995473,0.0,1.0,0.0,
2011-03-31,0.3389644979316193,0.656141470992458,0.0,,0.0,
2011-04-29,0.3546400232316942,0.6330941591873835,0.0,,0.0,
2011-05-31,0.4206959906624288,0.5453072756337048,0.0,1.0,0.0,
2011-06-30,0.4330960944107603,0.5291526679763553,0.0,1.0,0.0,1.0
2011-07-29,0.45594802439680476,0.5038119692118589,0.0,1.0,0.0,
2011-08-31,0.4786735833611593,0.4691576847026856,0.0,1.0,0.0,1.0
2011-09-30,0.4897262361797955,0.41616937756675476,0.0,1.0,0.0,
2011-10-31,0.46979136385571246,0.4289228176654405,0.0,1.0,0.0,1.0
2011-11-30,0.49354482027005125,0.38498602962045536,0.0,,0.0,
2011-12-30,0.5277438502727358,0.34135771231928724,0.0,1.0,0.0,1.0
2012-01-31,0.39137653172421744,0.32828062151334125,0.0,1.0,0.0,1.0
2012-02-29,0.2534538402671821,0.5001765381989034,0.0,,0.0,
2012-03-30,0.15592766003937047,0.7246498150263535,0.0,1.0,0.0,
2012-04-27,0.15489183492733985,0.7253986065731755,0.0,,0.0,1.0
2012-05-31,0.19408307834476096,0.6334963504224478,0.0,,0.0,1.0
2012-06-29,0.16813935620914153,0.6743255004273825,0.0,1.0,0.0,
2012-07-31,0.18417767928816262,0.6274036322692227,0.0,,0.0,
2012-08-31,0.20320842122146376,0.5752574669896259,0.0,,0.0,
2012-09-28,0.20499530579130984,0.580080573415382,0.0,1.0,0.0,
2012-10-31,0.4910149516718129,0.1208398474700933,0.0,,0.0,
2012-11-30,0.5605760073849119,0.06252930603008157,0.0,1.0,0.0,
2012-12-31,0.23120143881104055,0.4908099989066642,0.0,1.0,0.0,1.0
2013-01-31,0.2364393125820019,0.4707524259384668,0.0,,0.0,
2013-02-28,-0.06227308659216968,0.8410925688942267,0.0,,0.0,
2013-03-29,-0.1548173608904567,0.6663768065483888,0.0,,0.0,
2013-04-26,-0.1457318261002189,0.6825112284665265,0.0,1.0,0.0,1.0
2013-05-31,-0.16531181974575151,0.6436461333403554,0.0,,0.0,1.0
2013-06-28,-0.16220566766683117,0.6697905534856632,0.0,,0.0,1.0
2013-07-31,-0.14957711514549527,0.6970286517019129,0.0,,0.0,
2013-08-30,-0.17133384354742456,0.6574120081949131,0.0,1.0,0.0,
2013-09-30,-0.20492874497191665,0.5919286100250629,0.0,1.0,0.0,
2013-10-31,-0.218572078026813,0.5617803269974087,0.0,1.0,0.0,1.0
2013-11-29,-0.2165175666986814,0.5564003787864866,0.0,,0.0,
2013-12-31,-0.22797233647605292,0.5310075242185062,0.0,,0.0,
2014-01-30,-0.14204859307078002,0.6849381779107864,0.0,,0.0,1.0
2014-02-28,0.19086797076955184,0.6120404196934186,0.0,,0.0,
2014-03-31,0.20380517134672274,0.5906393662938105,0.0,,0.0,
2014-04-30,0.18963114547324106,0.5960888642670795,0.0,,0.0,
2014-05-30,0.1982840306481288,0.5712206019877759,0.0,,0.0,
2014-06-30,0.1868591806217003,0.5863228993968674,0.0,1.0,0.0,
2014-07-31,0.17300935545557986,0.6300875002552198,0.0,1.0,0.0,
2014-08-29,0.16137530123053032,0.646986827820101,0.0,,0.0,
2014-09-30,0.1370825383970352,0.701032816121101,0.0,1.0,0.0,
2014-10-31,0.16014166398371293,0.6501762521913673,0.0,1.0,0.0,1.0
2014-11-28,0.154261699076154,0.6689528764466003,0.0,,0.0,1.0
2014-12-31,0.10892578904712164,0.7900796970876209,0.0,,0.0,1.0
2015-01-30,0.11851637033318439,0.7866642189843089,0.0,,0.0,1.0
2015-02-27,0.3115901108185077,0.3916265362744882,0.0,,0.0,
2015-03-31,0.5552669148024044,0.26195616488963724,0.0,,0.0,
2015-04-30,0.5315698930256809,0.26612074041195344,0.0,1.0,0.0,
2015-05-29,0.503405109091912,0.3813834551945795,0.0,,0.0,1.0
2015-06-30,0.49580989519263435,0.4354911988460278,0.0,1.0,0.0,
2015-07-31,0.48206094982301684,0.4870782328528457,0.0,,0.0,
2015-08-31,0.49671785612883385,0.5239612844277712,0.0,,0.0,1.0
2015-09-30,0.5269518723592449,0.5173420695189863,0.0,1.0,0.0,1.0
2015-10-30,0.5106077939612902,0.5398508737770129,0.0,,0.0,
2015-11-30,0.4896082535869742,0.5652706918893653,0.0,,0.0,1.0
2015-12-31,0.49337308942971897,0.5651428034515109,0.0,,0.0,
2016-01-29,0.5110675691742779,0.5782029511561421,0.0,,0.0,
2016-02-29,0.5590492880739045,0.40167109724182337,0.0,,0.0,1.0
2016-03-31,0.536236906723145,0.43003212366105015,0.0,,0.0,1.0
2016-04-29,0.5527890688901532,0.41650141211315117,0.0,1.0,0.0,
2016-05-31,0.5476864485422933,0.4237923622521218,0.0,1.0,0.0,1.0
2016-06-30,0.5445207381850579,0.433968104800993,0.0,,0.0,1.0
2016-07-29,0.5399458980381392,0.43932983273107795,0.0,1.0,0.0,
2016-08-31,0.5457292182897829,0.43253300889545343,0.0,1.0,0.0,1.0
2016-09-30,0.5638729043630158,0.4178158036818973,0.0,1.0,0.0,1.0
2016-10-31,0.5593759664687893,0.41994023581270434,0.0,1.0,0.0,1.0
2016-11-30,0.5588847819689532,0.4159188581435832,0.0,,0.0,
2016-12-30,0.5976711981980866,0.3655436458275102,0.0,1.0,0.0,
2017-01-26,0.5545856266966263,0.3742976665106883,0.0,1.0,0.0,
