dummy,Holiday,Holiday,COVID,COVID,Holiday_COVID,Holiday_COVID
stat,coef,pval,coef,pval,coef,pval
2010-01-29,0.5599670359903743,0.47269323473740543,0.0,,0.0,
2010-02-26,0.4087162371536587,0.5976312283801295,0.0,1.0,0.0,
2010-03-31,0.7815018240191963,0.4123031920207483,0.0,,0.0,
2010-04-30,0.7756547321759879,0.3958766852874568,0.0,,0.0,
2010-05-31,0.7377255358421574,0.3849158234958152,0.0,1.0,0.0,1.0
2010-06-30,0.7714512506354165,0.3704560155771536,0.0,,0.0,1.0
2010-07-30,0.7411157496275325,0.3723872512295381,0.0,,0.0,1.0
2010-08-31,0.6943516874154196,0.3804883013437217,0.0,,0.0,
2010-09-30,0.6603328084501598,0.38396680058074684,0.0,,0.0,1.0
2010-10-29,0.6134072203423769,0.40404260156044525,0.0,1.0,0.0,1.0
2010-11-30,0.5810269097052037,0.4026185604781297,0.0,1.0,0.0,1.0
2010-12-31,0.6322486426820559,0.34358474599411837,0.0,,0.0,
2011-01-31,0.611735698106826,0.35464712466310333,0.0,1.0,0.0,1.0
2011-02-28,0.4286430812264335,0.5390618080712419,0.0,,0.0,
2011-03-31,0.42857464911091053,0.5070798035750246,0.0,,0.0,
2011-04-29,0.45877636788896453,0.4642085623246778,0.0,1.0,0.0,
2011-05-31,0.49581014772421717,0.4155474394113967,0.0,,0.0,
2011-06-30,0.5018520775118758,0.4026208405659466,0.0,,0.0,1.0
2011-07-29,0.5479364469710525,0.3375320166900213,0.0,,0.0,
2011-08-31,0.5601927500880595,0.33113102548301865,0.0,,0.0,1.0
2011-09-30,0.570790695622606,0.2937997110299956,0.0,1.0,0.0,1.0
2011-10-31,0.5530851457710907,0.3099535040945547,0.0,1.0,0.0,
2011-11-30,0.5855983308313739,0.2725756183014567,0.0,1.0,0.0,
2011-12-30,0.6258020324457003,0.2295711024944529,0.0,1.0,0.0,
2012-01-31,0.48042993002668527,0.22252904620494574,0.0,,0.0,
2012-02-29,0.3323534545690729,0.37909471247387594,0.0,,0.0,
2012-03-30,0.2865566054505347,0.5060985740984769,0.0,,0.0,
2012-04-27,0.28433332068061984,0.5089446073366513,0.0,1.0,0.0,1.0
2012-05-31,0.339446227416563,0.38925357720149645,0.0,,0.0,
2012-06-29,0.3243369705200464,0.399993937637229,0.0,1.0,0.0,1.0
2012-07-31,0.2920172404642792,0.45430005830891595,0.0,1.0,0.0,1.0
2012-08-31,0.3852032688709342,0.2872134069293254,0.0,,0.0,
2012-09-28,0.4187777954550236,0.2483497889523565,0.0,1.0,0.0,1.0
2012-10-31,0.5794128281750766,0.09087220656850004,0.0,1.0,0.0,
2012-11-30,0.575746701192252,0.07063948638793974,0.0,1.0,0.0,
2012-12-31,0.478168191915048,0.14576740699704427,0.0,1.0,0.0,1.0
2013-01-31,0.4243095938777045,0.200126856996105,0.0,,0.0,1.0
2013-02-28,0.0022079690280850787,0.9938174393344728,0.0,1.0,0.0,1.0
2013-03-29,-0.20973580867083988,0.5401201806930065,0.0,1.0,0.0,
2013-04-26,-0.20766257101033514,0.5455343377788279,0.0,1.0,0.0,
2013-05-31,-0.23245877573783846,0.5056966035530398,0.0,,0.0,1.0
2013-06-28,-0.25103449068587946,0.5120014947973712,0.0,,0.0,1.0
2013-07-31,-0.24502760407701202,0.5387413895203127,0.0,,0.0,
2013-08-30,-0.2673044190929453,0.5051908368529219,0.0,,0.0,
2013-09-30,-0.27664988421844156,0.4821605440650758,0.0,,0.0,
2013-10-31,-0.31044846713580265,0.4251226724853091,0.0,1.0,0.0,
2013-11-29,-0.2901026556587014,0.43645933187650643,0.0,,0.0,1.0
2013-12-31,-0.3056315779185567,0.413883038274943,0.0,,0.0,
2014-01-30,-0.3085735189979889,0.4000293265852435,0.0,,0.0,
2014-02-28,-0.11576997761946742,0.7670787772352133,0.0,,0.0,
2014-03-31,-0.09559694619258145,0.8080227399016252,0.0,1.0,0.0,1.0
2014-04-30,-0.11259366313502961,0.7671973038267479,0.0,1.0,0.0,
2014-05-30,-0.09472611574972563,0.7994664510876434,0.0,1.0,0.0,
2014-06-30,-0.10904053005693404,0.7643500744351781,0.0,,0.0,
2014-07-31,-0.12616162661933328,0.728945036301178,0.0,1.0,0.0,
2014-08-29,-0.13363454355692903,0.7094632526909692,0.0,,0.0,
2014-09-30,-0.1645631483502227,0.6444743025093489,0.0,,0.0,1.0
2014-10-31,-0.15847034152258146,0.6423299887522618,0.0,1.0,0.0,
2014-11-28,-0.1772293245916523,0.603107981864869,0.0,,0.0,1.0
2014-12-31,-0.21299269893651587,0.5672713419844966,0.0,1.0,0.0,
2015-01-30,-0.20444960254209138,0.6037215241803522,0.0,1.0,0.0,
2015-02-27,0.08535022892224325,0.7955418895542643,0.0,,0.0,1.0
2015-03-31,0.35960754089788555,0.4042140394673154,0.0,,0.0,1.0
2015-04-30,0.32048720394764907,0.46042639508500893,0.0,,0.0,
2015-05-29,0.3021288746995713,0.5235238363829524,0.0,1.0,0.0,1.0
2015-06-30,0.2977590883167504,0.5634248615465178,0.0,1.0,0.0,
2015-07-31,0.30232397081623424,0.5964944409357082,0.0,,0.0,
2015-08-31,0.31622248379524764,0.6109131407290751,0.0,1.0,0.0,
2015-09-30,0.3392764706955812,0.6068695023041555,0.0,1.0,0.0,
2015-10-30,0.3081712120425878,0.6515838029862577,0.0,1.0,0.0,
2015-11-30,0.28527867885584984,0.6820610588799383,0.0,,0.0,
2015-12-31,0.27647914248549676,0.6914826471203999,0.0,,0.0,
2016-01-29,0.32621801503370257,0.6643535476019895,0.0,,0.0,
2016-02-29,0.6373668661634214,0.38931358961072804,0.0,1.0,0.0,1.0
2016-03-31,0.5758269173938338,0.4320750928708077,0.0,1.0,0.0,
2016-04-29,0.5907955245068024,0.42209853028018474,0.0,1.0,0.0,
2016-05-31,0.5854831031752945,0.4334807414932125,0.0,1.0,0.0,
2016-06-30,0.57551329496346,0.44829486095709836,0.0,1.0,0.0,
2016-07-29,0.5720901335545783,0.4521064737562649,0.0,,0.0,1.0
2016-08-31,0.5792883599355005,0.4440980782714603,0.0,1.0,0.0,
2016-09-30,0.5911549429590999,0.4359671017856259,0.0,,0.0,1.0
2016-10-31,0.5882956104125205,0.4361632838496874,0.0,1.0,0.0,
2016-11-30,0.5865396478150311,0.432680101829233,0.0,1.0,0.0,
2016-12-30,0.6344824639855693,0.3778077208051628,0.0,,0.0,
2017-01-26,0.553895683999977,0.41975088129073934,0.0,,0.0,1.0
2017-02-28,0.45431062908853154,0.4777971517288113,0.0,1.0,0.0,
2017-03-31,0.39935518216246857,0.6058347082997713,0.0,1.0,0.0,
2017-04-28,0.4346964524023998,0.5692870936578134,0.0,1.0,0.0,
2017-05-31,0.45603507684885636,0.5347459535651493,0.0,1.0,0.0,
2017-06-30,0.48966092788669996,0.4794655031907825,0.0,,0.0,
2017-07-31,0.4903870426334815,0.3680746731825746,0.0,1.0,0.0,1.0
2017-08-31,0.4960106420904039,0.3221746039134249,0.0,1.0,0.0,
2017-09-29,0.46241154187878486,0.2657751846822015,0.0,,0.0,1.0
2017-10-31,0.4969307281496645,0.17678915602732936,0.0,1.0,0.0,
2017-11-30,0.5394536347429836,0.1105706781123805,0.0,,0.0,
2017-12-29,0.5489356935810034,0.09376069855623655,0.0,1.0,0.0,1.0
2018-01-31,0.48263984077075667,0.0931279952189629,0.0,,0.0,
2018-02-28,0.7712535711086721,0.002909868980131903,0.0,1.0,0.0,1.0
2018-03-30,0.5668204289277735,0.08126431182909101,0.0,1.0,0.0,
2018-04-27,0.8029603649699388,0.008496060770987987,0.0,,0.0,
2018-05-31,0.796285122659835,0.005250077253828186,0.0,1.0,0.0,1.0
2018-06-29,0.8179973313119261,0.005624111572911241,0.0,1.0,0.0,
2018-07-31,0.8047773628758669,0.005921264259262107,0.0,,0.0,
2018-08-31,0.8191188657341009,0.010613690077044357,0.0,1.0,0.0,1.0
2018-09-28,0.8283940285068692,0.01135786307660791,0.0,,0.0,
2018-10-31,0.845530899517896,0.01699165376379464,0.0,1.0,0.0,
2018-11-30,0.8474360025123756,0.025111303700969784,0.0,,0.0,1.0
2018-12-28,0.8491657306638741,0.028138739987796466,0.0,1.0,0.0,1.0
2019-01-31,0.7046549967255883,0.04750839912319597,0.0,1.0,0.0,
2019-02-28,1.4136798395120465,1.594809953590377e-05,0.0,1.0,0.0,
2019-03-29,1.4252826010866944,9.757545273368526e-05,0.0,1.0,0.0,
2019-04-30,1.41106700944339,0.00019025033398889155,0.0,1.0,0.0,
2019-05-31,1.4183414153529477,0.0005670624834573955,0.0,1.0,0.0,1.0
2019-06-28,1.4215251056710128,0.0006990576311928159,0.0,,0.0,
2019-07-31,1.4257848382349378,0.0008885358071692455,0.0,1.0,0.0,
2019-08-30,1.4216996801465196,0.0009825275643851395,0.0,,0.0,
2019-09-30,1.431156008257324,0.00103956625998801,0.0,1.0,0.0,
2019-10-31,1.4341875954942296,0.001067898685187138,0.0,1.0,0.0,
2019-11-29,1.439289150660978,0.001134598546324432,0.0,1.0,0.0,
2019-12-31,1.4010076399230367,0.0008973190616765568,0.0,,0.0,
2020-01-23,1.1799018881333776,0.0014489436344592892,0.0,1.0,0.0,
2020-02-28,1.1800593826530945,0.0026416901203174265,0.7463078131397153,0.039045410052894684,-2.4100834405562708,0.00011080046296355823
2020-03-31,0.9761663048498943,0.04165103453144671,0.024918386450093605,0.8885398485827934,-1.4433123242578387,0.019746476368470864
2020-04-30,0.9388062127108205,0.05437703188128587,0.11562142552879105,0.511543467608166,-1.5429489622745471,0.012611053516859112
2020-05-29,0.9354933225751917,0.05447578439811097,0.10493995635475263,0.5315254815591917,-1.5326407683415575,0.012589329302526783
2020-06-30,0.9317302360221109,0.05457522757949159,0.17734935326991802,0.27507705400411653,-1.6127800947765643,0.0082537142709234
2020-07-31,0.9069705149371298,0.06734391729758864,0.25020424796351703,0.09313401828217577,-1.6833586105682536,0.0064627716087721195
2020-08-31,0.874352811446527,0.07477784700800634,0.20432134372806476,0.1556216655360843,-1.638379156105609,0.007482892958427269
2020-09-30,0.8607364907665488,0.08074053023453306,0.1162022662950048,0.4083282367778678,-1.5465190627997059,0.011730106519395496
2020-10-30,0.8451894809170144,0.08548303951825435,0.11209287020494789,0.41949014869989676,-1.5426796804797245,0.011667729203082488
2020-11-30,0.8295219297831211,0.0790364325578719,0.08147565913277857,0.5448741119114185,-1.5117508113370548,0.009952551857284084
2020-12-31,0.815095227346451,0.07377210773421215,0.06415198457428414,0.6272967724279084,-1.493452652655428,0.008234932862966955
2021-01-29,0.7973116664634203,0.09045074290219182,0.05114781282544109,0.7043475000426965,-1.4819635414641958,0.010895769684040631
2021-02-26,1.068825954657797,0.0529582559390548,0.03267048422745146,0.8130311116063856,-1.215424487017411,0.04816359776518929
2021-03-31,-0.23834746182707836,0.8329994101837861,0.04962769281922846,0.7312250861456624,0.11801931095831235,0.9187697870788413
2021-04-30,-0.23071338154255813,0.8347180804109398,0.07954600938730716,0.5881098943301385,0.11134079378204198,0.9216324675334184
2021-05-31,-0.28306024712549693,0.7893810928137706,0.012672728422297037,0.9342917011847527,0.15567159925997381,0.8858927821612719
2021-06-30,-0.2915892873568524,0.7758617813519535,-0.02696005670849178,0.87104392464745,0.16908360876941297,0.8714245317983784
2021-07-30,-0.2729688117329608,0.7905633993722488,-0.037621474281447215,0.8434504297232341,0.15890725831804006,0.8793685341040086
2021-08-31,-0.3540240192808262,0.734976311055009,-0.1143841997067486,0.5779455682584795,0.2527231970046898,0.8127297061544394
2021-09-30,-0.274983397865608,0.7917677314970679,-0.05039457402167063,0.8253316322243551,0.18232248122212016,0.8636745938982056
2021-10-29,-0.3594330764920149,0.7303176891896856,-0.1302405371890601,0.6162573481505262,0.2686603492348025,0.8005341168154904
2021-11-30,-0.36865902386069316,0.725607661698027,-0.13018277295256278,0.6622052128073395,0.2760432534763845,0.7966715412388587
2021-12-31,-0.5939576717855338,0.5843791708566661,-0.32123842845766853,0.4005858659902116,0.5122980594504751,0.6436366458942927
2022-01-28,-0.4862469053084313,0.6963441769059424,-0.2194589400893458,0.7419499099378086,0.26049991442188014,0.8371446676202831
2022-02-28,,,,,,
2022-03-31,,,,,,
2022-04-29,,,,,,
2022-05-31,,,,,,
2022-06-30,,,,,,
2022-07-29,,,,,,
2022-08-31,,,,,,
2022-09-30,,,,,,
2022-10-31,,,,,,
2022-11-30,,,,,,
2022-12-30,,,,,,
2023-01-31,,,,,,
2023-02-28,,,,,,
2023-03-31,,,,,,
2023-04-28,,,,,,
2023-05-31,,,,,,
2023-06-30,,,,,,
2023-07-31,,,,,,
2023-08-31,,,,,,
2023-09-28,,,,,,
2023-10-31,,,,,,
2023-11-30,,,,,,
2023-12-29,,,,,,
2024-01-31,,,,,,
2024-02-29,,,,,,
2024-03-29,,,,,,
2024-04-30,,,,,,
